,File Name,Job title,Job number,SCHOOL_TYPE,ENTRY_SALARY,EDUCATION_MAJOR,EXP_JOB_CLASS_TITLE,COURSE_COUNT,COURSE_SUBJECT,COURSE_LENGTH,opendate,requirements,duties,DRIVERS_LICENSE_REQ,EXAM_TYPE,salary_end,salary_start,EXPERIENCE_LENGTH,EDUCATION_YEARS,sex,FULL_TIME_PART_TIME
192,ELECTRICAL TESTER 7512 102816.txt,electrical tester   ,7512,,"('54,079', ' to $67,170')"," or trade school in physics, chemistry, electricity, or electronics; or 4.Successful completion of the Pre-Electrical Craft Helper training course presented by the Los Angeles Trade Technical College; or5.Six months of full-time experience performing electrical work on equipment and circuits in the maintenance or construction of electrical systems while in the United States Armed Forces.PROCESS ",['experience and current employment as a helper or '],[],[],[],2016-10-28,"S1. Six months of full-time paid experience and current employment as a helper or trainee for a utility performing work on equipment and circuits, construction and maintenance; or2.Completion of eight months in the Utility Pre-Craft Trainee training program sponsored by the Los Angeles Department of Water and Power; or3.Successful completion of Three semester units or Four quarter units from an accredited college or university or trade school in physics, chemistry, electricity, or electronics; or 4.Successful completion of the Pre-Electrical Craft Helper training course presented by the Los Angeles Trade Technical College; or5.Six months of full-time experience performing electrical work on equipment and circuits in the maintenance or construction of electrical systems while in the United States Armed Forces.PROCESS ","An entry-level Electrical Tester receives intensive classroom and on-the-job instruction and training. The trainee is supervised by a Senior Electrical Tester and works as a trainee assisting journey-level electrical workers within the Testing Laboratories in the performance of diagnostic tests, calibration, repair, maintenance, and adjustments on: high and low voltage electrical circuits, equipment and related material; meters, smart-grid systems, conventional and renewable generation resources, control circuits, instruments, relays and related equipment and materials; new locations; and performs related duties. A journey-level Electrical Tester: performs routine calibration tests of meters; makes routine electrical tests of material; assists in testing more complex electric instruments and equipment; tests and replaces electric meters, control and protective relays, instruments, transformers, and other equipment and materials; performs cathodic protection in underground and abovehead structures; performs infrared inspection of high voltage overhead distribution systems; and builds and test circuit boards, removes or replaces compOnents, and tests communication levels, in regard to facility/substation Supervisory Control and Data Acquisition (SCADA) systems, Remote Terminal Units (RTU), and other control systems. Journey-level Electrical Testers may also: lead a group of employees engaged in field or laboratory electrical testing; perform the more difficult and advanced functions of electrical testing; and perform related duties. ",yes required,"['Test', 'Test']","$67,170","54,079",Zero,,,full_time
193,ELECTRICIAN 3863 101317.txt,electrician,3863,,"('88,218', None)",,[],[],[],[],2017-10-13,S1. Completion of a recognized apprenticeship as a general electrician; or2. Seven years of full-time paid experience performing electrical wiring work on buildings and facilities.Completion of an electrician program at an accredited institution may be substituted for each year of experience lacking up to a maximum of Two years. PROCESS ,"An Electrician does skilled electrical work in the installation, maintenance, and repair of wiring, conduits, and electric installations in public buildings and facilities and on adjacent grounds; and troubleshoots electrical circuits.",yes required,['Test'],,"88,218",Seven,,,full_time
194,ELECTRICIAN SUPERVISOR 3865 091616  REV 092916.txt,electrician supervisor,3865,,"('99,347', None)",,"['experience as a Senior Electrician; or2. Four ye', 'experience as a journey-level electrician.PROCES']",[],[],[],2016-09-16,"S1. Two-years of full-time paid experience as a Senior Electrician; or2. Four years of full-time paid experience as a journey-level electrician.PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for the examination.  However, they cannot be appointed until the full experience requirement is met.2. Some positions may require a valid California driver's license. Candidate may not be eligible for appointment to these positions if their record within the last 36 months reflects Three or more moving violations and/or at-fault accident, or a conviction of a major moving violation (such as DUI). WHERE TO APPLYApplications will only be accepted on-line. When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon. On-line job bulletins are also available at https://www.governmentjobs.com/careers/lacity/promotionaljobs  for Promotional Examinations. ","An Electrician Supervisor plans, organizes, and directs the work of a group of Senior Electricians, Electricians, and other employees engaged in general electrical installation, maintenance, and repair work including motors and lighting, intercom, fire alarm systems, sound and surveillance systems; may evaluate lighting or other electrical systems and make estimates for installation or alteration of electrical facilities; uses computers to track expenses and work orders; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",yes required,['Interview'],,"99,347",Four,,,full_time
195,ELEVATOR MECHANIC 3866 012717 REV 080718.txt,elevator mechanic,3866,,"('100,866', None)",,['experience and professional development as they h'],[],[],[],2017-01-27,SA Certificate as a Competent Conveyance (Elevator) Mechanic issued by the California Division of Occupational Safety and Health.PROCESS ,"An Elevator Mechanic does skilled electrical, electronic, mechanical, and hydraulic work in the maintenance and repair of passenger and freight elevators, escalators, and other vertical and horizontal transportation equipment, and their related equipment.",yes required,[],,"100,866",Zero,,,full_time
196,ELEVATOR MECHANIC HELPER 3860 071417.txt,elevator mechanic helper,3860,,"('68,883', None)",,"['experience in the installation, maintenance, rep']",[],[],[],2017-07-14,"S1. One year of full-time paid experience in the installation, maintenance, repair or modernization of elevators, escalators, or moving walks; or2. Successful completion of 12 semester or 18 quarter units from a recognized college, university, or trade school in industrial electronics or industrial electricity. PROCESS ","An Elevator Mechanic Helper helps journey-level elevator mechanics by doing semiskilled electrical and mechanical work in the maintenance and repair of passenger and freight elevators, escalators, and their appurtenant equipment.",yes required,['Test'],,"68,883",One,,,full_time
197,ELEVATOR REPAIR SUPERVISOR 032516 REVISED 040516.txt,elevator repair supervisor,3869,,"('103,001', ' and $107,636')",,['experience as a journey-level elevator mechanic;'],[],[],[],2016-03-25,1. Two years of full-time paid experience as a journey-level elevator mechanic; and2. A valid Certificate of Registration as a journey-level Elevator Mechanic issued by the Los Angeles City Department of Building and Safety; and3. A valid State of California Certified Competent Conveyance (Elevator) Mechanic Certificate.,"An Elevator Repair Supervisor assigns, reviews, and evaluates the work of Elevator Mechanics and other employees engaged in the maintenance and repair of passenger and freight elevators, escalators, moving walkways, and their appurtenant equipment; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",yes required,['Interview'],"$107,636","103,001",Two,,,full_time
198,EMERGENCY MEDICAL SERVICES EDUCATOR  2322 110615 REV 112515.txt,emergency medical services (ems) educator,2322,,"('77,715', ' to $104,734')",,"['experience in education instruction in the field', 'experience in Requirement #3c may file for this ', 'experience is met.5. Applicants filing under Req']",[],[],[],2015-11-06," 1. Possession of a current license with the State of California as a Registered Nurse; with a current or former certification as a Los Angeles County Mobile Intensive Care Nurse (MICN) or 2. A State of California Paramedic License with a current Los Angeles County Paramedic accreditation; and3. Completion of One of the following:a. California State Fire Marshal Instructor 1A, 1B, 1C certification; orb. National Association of EMS Educators (NAEMSE) Instructor Course; orc. Two years of full-time, paid experience within the last Five years as the Pre-hospital Care Coordinator (PCC) of a Los Angeles County Base Station Hospital; ord. One year experience in education instruction in the field of pre-hospital or emergency services.",   Conducts formal classroom training for Fire Department personnel in pre-hospital care emergency services subjects; and does related work.,yes required,[],"$104,734","77,715",Two,,,full_time
199,EMS NURSE PRACTITIONER SUPERVISOR 2340 031116 REV 032316 (1).txt,ems nurse practitioner supervisor,2340,,"('93,083', ' to $136,074')",,"['experience as a Nurse PractitiOner in an emergen', 'experience in a pre-hospital setting is highly d']",[],[],[],2016-03-11,"1. A certificate as a Nurse PractitiOner by the State of California Board of Registered Nursing with documentation of education and training as a Nurse PractitiOner in family practice or emergency medicine, and possession of a current license, Furnishing Number, and a Drug Enforcement Administration (DEA) registration number; and 2. Two years of full-time paid experience as a Nurse PractitiOner in an emergency department or urgent care setting; and 3. An American Heart Association, Basic Life Support (BLS) Provider certificate; and 4. An American Heart Association, Advance Cardiac Life Support (ACLS) Provider certificate; and 5. An American Heart Association, Pediatric Advance Life Support (PALS) Provider certificate; and 6. A current certificate as a Mobile Intensive Care Nurse (MICN) by the Department of Health Services, County of Los Angeles; and 7. A current certificate as a Nurse PractitiOner certified by a national center such as the American Nurse Credentialing Center (ANCC) or American Academy of Nurse PractitiOners (AANP) as a Family Nurse PractitiOner (FNP) or an Emergency Nurse PractitiOner (ENP). ","Provides and supervises staff involved in non-emergent direct patient care to the ill and injured within the pre-hospital setting; oversees care delivered through the Nurse PractitiOner Response Unit (NPRU), which is the Los Angeles Fire Department's alternate service delivery model to render mobile integrated healthcare, and is responsible for the daily management and maintenance of the NPRU; provides medical treatment which includes obtaining patient histories, administering and prescribing medication, conducting diagnostic tests, performing routine medical procedures and consulting with other social services and healthcare professionals; and does related work.",yes required,['Evaluation'],"$136,074","93,083",Two,,,full_time
200,ENGINEER OF SURVEYS 9486 101615.txt,engineer of surveys,9486,,"('127,347', ' to $171,612')",,[],[],[],[],2015-10-16,1. Two years of full-time paid experience with the City of Los Angeles as a Senior Survey Supervisor; or2. Four years of full-time paid experience with the City of Los Angeles as a Survey Supervisor.,"The Engineer of Surveys performs responsible administrative work as the head of the Survey Division of the Bureau of Engineering, and directs personnel engaged in preliminary, topographic, hydrographic, property, construction and geodetic surveying.",yes required,['Evaluation'],"$171,612","127,347",Two,,,full_time
201,ENGINEERING DESIGNER 7217 082517 REV 090717.txt,engineering designer,7217,,"('60,385', ' to $88,260')"," with at least 4 courses in engineering, and Three years of full-time paid sub professional engineering experience including Two years at the level of Civil Engineering Drafting Technician.  One additional year of full-time paid sub professional engineering experience at the level of Civil Engineering Drafting Technician may be substituted for each year of college educational lacking.PROCESS ","['experience including Two years at the level of Civil En', 'experience at the level of Civil Engineering Dra']",[],[],[],2017-08-25,"Completion of Two years education in an accredited college or university with at least 4 courses in engineering, and Three years of full-time paid sub professional engineering experience including Two years at the level of Civil Engineering Drafting Technician.  One additional year of full-time paid sub professional engineering experience at the level of Civil Engineering Drafting Technician may be substituted for each year of college educational lacking.PROCESS ","An Engineering Designer does specialized engineering design work in connection with the preparation of plans, designs, details and estimates for water supply and distribution structures, water pump stations, pipelines and facilities, streets, sewers, wastewater and groundwater treatment facilities, bridges, earth retaining structures, storm drains, stormwater pollution abatement facilities, street lighting systems, electrical power distribution systems, automated control systems, traffic systems, airport facilities, projects involving right-of-way and legal descriptions, or other construction projects.",yes required,[],"$88,260","60,385",Three,,,full_time
202,ENGINEERING GEOLOGIST 7255 022318.txt,engineering geologist,7255,,"('94,857', ' to $138,643')",,['experience and personal qualifications by intervi'],[],[],[],2018-02-23,"Certification as an Engineering Geologist with the California Board for Professional Engineers, Land Surveyors, and Geologists is required at the time of filing.PROCESS ","An Engineering Geologist conducts or supervises the preparation of engineering geological studies and reports; reviews for acceptability professional reports on engineering geological studies relating to earth movement, landslides, the design and construction of tracts, dams, reservoirs, tank sites, buildings, streets and highways, tunnels, electric power generating plants, transmission towers, distributing stations and other structures; classifies rock and soil samples; investigates and mitigates soil and groundwater contamination; investigates water-bearing strata, soil gases, geologic hazards including methane, fuel supply sources and technical aspects of legal questions; applies sound supervisory principles and techniques in building and maintaining an effective work force.",yes required,"['Essay', 'Interview']","$138,643","94,857",Zero,,,full_time
203,ENGINEERING GEOLOGIST ASSOCIATE 7253 082517.txt,engineering geologist associate,7253,College or University,"('66,231', ' to $94,252')", with a degree in geology or engineering geology.PROCESS ,"['experience as an Engineering Geologist Associate', 'experience at the level of Engineering Geologist']",[],[],[],2017-08-25,Graduation from an accredited Four-year college or university with a degree in geology or engineering geology.PROCESS ,"An Engineering Geologist Associate performs professional engineering geological investigations and studies in connection with the design and construction of tracts, dams, reservoirs, tank sites, buildings, streets and highways, tunnels, electric power generating plants, transmission towers, distributing stations and other structures; makes precise geological maps; classifies rock and soil samples; investigates water-bearing strata and geothermal prospects, geologic hazards including landslides, and technical aspects of legal questions; applies geologic principles to evaluate underground conditions and environmental aspects of sites and the cleanup of underground contamination; and applies hydrogeologic principles to characterize groundwater and hydrogeologic conditions of sites.",yes required,['Interview'],"$94,252","66,231",Zero,Four,,full_time
204,ENVIRONMENTAL ENGINEER  7872 082616 REV 090116.txt,environmental engineer ,7872,,"('89,637', ' to $127,555')",,"['experience in a position at least at the level o', 'experience is gained in positions after obtainin', 'experience and personal qualifications by intervi']",[],[],[],2016-08-26, Two years of full-time paid professional environmental engineering experience in a position at least at the level of Environmental Engineering Associate II. PROCESS ,"An Environmental Engineer performs responsible professional engineering work and supervises employees involved in water supply and water quality control activities, and in the planning, design, construction, maintenance, operation and implementation of technologies related to solid waste, industrial waste, water, stormwater, recycled water, and wastewater conveyance, storage and treatment facilities.  Prepares, evaluates, and administers Request for Qualifications, Requests for Proposals, and Request for Bids for a variety of environmental engineering projects; may act as project manager over One or more projects; directs various environmental engineering studies, tests and research activities; evaluates performance of existing environmental engineering facilities and makes recommendations for improvement; directs a variety of solid resources programs including solid waste recycling, clean fuel, zero waste and renewable energy; reviews regulatory ordinances and provides summaries of impacts and recommendations for regulatory compliance; occasionally makes presentations to Board members, elected officials, and the public; applies sound supervisory principles and techniques in building and maintaining an effective work force and in fulfilling equal employment responsibilities; and does related work.",yes required,['Essay'],"$127,555","89,637",Two,,,full_time
205,ENVIRONMENTAL ENGINEERING ASSOCIATE  7871 020113 REV 032916.txt,environmental engineering associate,7871,College or University,"('64,916', ' to $92,394')"," with a degree in engineering, which includes at least 12 semester units or 18 quarter units of core courses in environmental engineering; or2. Possession of a valid Engineer-In-Training Certificate recognized by the State of California Board for Professional Engineers, Land Surveyors, and Geologists.3. In addition to the application, a Supplemental Form must be completed.  You may attach a copy of school transcripts (annotated with the engineering core courses, credit earned, and grade received) to the Supplemental Form; however you must complete the entire Supplemental Form and attach it to the application.  (Note: Supplemental Forms and applications will be available at the interview location.)",[],[],[],[],2013-02-01,"1. Graduation from an accredited Four-year college or university with a degree in engineering, which includes at least 12 semester units or 18 quarter units of core courses in environmental engineering; or2. Possession of a valid Engineer-In-Training Certificate recognized by the State of California Board for Professional Engineers, Land Surveyors, and Geologists.3. In addition to the application, a Supplemental Form must be completed.  You may attach a copy of school transcripts (annotated with the engineering core courses, credit earned, and grade received) to the Supplemental Form; however you must complete the entire Supplemental Form and attach it to the application.  (Note: Supplemental Forms and applications will be available at the interview location.)","An Environmental Engineering Associate performs professional engineering work in connection with water supply, water quality control, solid waste and wastewater collection, disposal and treatment, and ionizing radiation; conducts engineering, planning and research studies in connection with water and solid resources related activities; coordinates construction and operations of water and wastewater treatment and solid waste facilities; and does related work.",yes required,['Interview'],"$92,394","64,916",Zero,Four,,full_time
206,ENVIRONMENTAL SUPERVISOR 7304 052518 (1).txt,environmental supervisor,7304,College or University,"('82,496', ' to $120,582')"," AND Three years of full-time paid professional experience in the analysis or implementation of environmental legislation, regulations, policies and programs, or in the prediction, assessment, measurement, clean-up and control of environmental pollutants. PROCESS ","['experience in the analysis or implementation of ', 'experience in the analysis or implementation of ', 'experience in Requirement No. 2, the term ""profe']",[],[],[],2018-05-25,"S 1. Two years of full-time paid experience with the City of Los Angeles as an Environmental Specialist or in a class at that level which provides experience in the analysis or implementation of environmental legislation, regulations, policies and programs, or in the prediction, assessment, measurement, clean-up, and control of environmental pollutants; or2. Graduation from an accredited Four-year college or university AND Three years of full-time paid professional experience in the analysis or implementation of environmental legislation, regulations, policies and programs, or in the prediction, assessment, measurement, clean-up and control of environmental pollutants. PROCESS ","An Environmental Supervisor assigns, reviews and evaluates the work of professional personnel and/or consultants engaged in the analysis, review, investigation, study and implementation of environmental policies, regulations, legislation and programs; personally performs the more difficult, technical and/or sensitive assignments; prepares environmental documents; manages large environmental and natural resources projects and programs including regulatory compliance programs and grant funded projects; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",yes required,"['Essay', 'Interview']","$120,582","82,496",Two,Four,,full_time
207,EQUIPMENT MECHANIC 3711 051818.txt,equipment mechanic ,3711,,"('78,675', None)",,"['experience in automotive mechanic work; or4. Sat', 'experience in automotive mechanic work.PROCESS N']",[],[],[],2018-05-18,"S1. Completion of a recognized apprenticeship as an automotive mechanic; or2. Completion of the Automotive Service Excellence (ASE) Master Technician Certification for Automobile Repair; or3. Four years of full-time paid experience in automotive mechanic work; or4. Satisfactory completion of a Two-year program in automotive or truck mechanics from an accredited community college, trade or technical school and Two years of full-time paid experience in automotive mechanic work.PROCESS ",An Equipment Mechanic does skilled mechanical work in the maintenance and repair of automotive transportation equipment and inspects such equipment to determine needed repairs.,yes required,['Test'],,"78,675",Four,,,full_time
208,EQUIPMENT OPERATOR 3525 041417 REV 042717.txt,equipment operator,3525,,"('90,201', ' and $97,551')",,['experience in operating construction or road mai'],['One'],"[' of the following courses may be substituted for a maximum of six months experience:a. Heavy Equipment Operations and Maintenance course given by Los Angeles Trade Technical College; orb. Heavy Duty Equipment Operator training course given by LAUSD; orc. Equipment Operator training course given by either the City of Los Angeles Public Works Bureau of Street Services or Bureau of Sanitation; ord. The National Commission for the Certification of Crane Operators (NCCCO) Mobile Crane Operator training course with the City of Los Angeles Department of Water and Power.PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met. 2. In addition to the regular City application, applicants using City experience MUST submit a Los Angeles ""Verification of Work Experience"" (VWE) form, which must indicate the percentage of time performing the work that is claimed as qualifying experience. Applicants must list all types of equipment operated when describing experience. Applicants may attach the completed VWE form to their online application at the time of filing or will have seven (7) calendar days from the online submission date to e-mail a copy of their completed VWE form, including the required signatures, to per.appdocs@lacity.org. The subject line of your e-mail must include the exam title, your name and indicate it is a VWE. In the body of your e-mail, you must also include your first and last name, last Four digits of your Social Security Number and contact phOne number. Applicants who fail to submit their signed VWE form within the time required will not be considered further in this examination and their applications will not be processed.3. Applicants wishing to substitute training for experience must submit a copy of their certificate of completion of the applicable courses at the time of filing. The copy of their certificate must be attached to the online application BEFORE the application is submitted. If the certificate is attached AFTER the online application has been submitted, it will not be available to the City and applicants WILL NOT be credited with having submitted it. Applicants who fail to submit the certificate at the time of filing by attaching it to the online application will not be considered further in this examination.4. Applicants will be disqualified and not eligible for hire if their driving record within the last 36 months reflects Three or more moving violations and/or at-fault accidents or a conviction of a major moving violation (such as DUI). 5. Candidates will be asked to submit a commercial driving history in accordance with the California Department of Motor Vehicles Section 1808.1 prior to appointment.6. A valid Class A or B driver\'s license with T, X, N, and/or P may be required for some positions.7. Additional equipment operator\'s licenses required by Cal-OSHA may be required for some positions prior to appointment. Employing departments may indicate on certification notifications that only those eligibles currently possessing the required license(s) will be considered for appointment.8. Some positions at the Los Angeles Department of Water and Power may require the completion of Hazwoper Site Worker training as defined in California Code of Regulations Title 8, Section']","[' of the following courses may be substituted for a maximum of six months experience:a. Heavy Equipment Operations and Maintenance course given by Los Angeles Trade Technical College; orb. Heavy Duty Equipment Operator training course given by LAUSD; orc. Equipment Operator training course given by either the City of Los Angeles Public Works Bureau of Street Services or Bureau of Sanitation; ord. The National Commission for the Certification of Crane Operators (NCCCO) Mobile Crane Operator training course with the City of Los Angeles Department of Water and Power.PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met. 2. In addition to the regular City application, applicants using City experience MUST submit a Los Angeles ""Verification of Work Experience"" (VWE) form, which must indicate the percentage of time performing the work that is claimed as qualifying experience. Applicants must list all types of equipment operated when describing experience. Applicants may attach the completed VWE form to their online application at the time of filing or will have seven (7) calendar days from the online submission date to e-mail a copy of their completed VWE form, including the required signatures, to per.appdocs@lacity.org. The subject line of your e-mail must include the exam title, your name and indicate it is a VWE. In the body of your e-mail, you must also include your first and last name, last Four digits of your Social Security Number and contact phOne number. Applicants who fail to submit their signed VWE form within the time required will not be considered further in this examination and their applications will not be processed.3. Applicants wishing to substitute training for experience must submit a copy of their certificate of completion of the applicable courses at the time of filing. The copy of their certificate must be attached to the online application BEFORE the application is submitted. If the certificate is attached AFTER the online application has been submitted, it will not be available to the City and applicants WILL NOT be credited with having submitted it. Applicants who fail to submit the certificate at the time of filing by attaching it to the online application will not be considered further in this examination.4. Applicants will be disqualified and not eligible for hire if their driving record within the last 36 months reflects Three or more moving violations and/or at-fault accidents or a conviction of a major moving violation (such as DUI). 5. Candidates will be asked to submit a commercial driving history in accordance with the California Department of Motor Vehicles Section 1808.1 prior to appointment.6. A valid Class A or B driver\'s license with T, X, N, and/or P may be required for some positions.7. Additional equipment operator\'s licenses required by Cal-OSHA may be required for some positions prior to appointment. Employing departments may indicate on certification notifications that only those eligibles currently possessing the required license(s) will be considered for appointment.8. Some positions at the Los Angeles Department of Water and Power may require the completion of Hazwoper Site Worker training as defined in California Code of Regulations Title 8, Section']",2017-04-14,"S1. Two years of full-time paid experience in operating construction or road maintenance equipment, including tractors and cranes; and2. A valid California Class A or B driver's license and valid medical certificate approved by the State of California Department of Motor Vehicles.Satisfactory completion of One of the following courses may be substituted for a maximum of six months experience:a. Heavy Equipment Operations and Maintenance course given by Los Angeles Trade Technical College; orb. Heavy Duty Equipment Operator training course given by LAUSD; orc. Equipment Operator training course given by either the City of Los Angeles Public Works Bureau of Street Services or Bureau of Sanitation; ord. The National Commission for the Certification of Crane Operators (NCCCO) Mobile Crane Operator training course with the City of Los Angeles Department of Water and Power.PROCESS ","An Equipment Operator operates tractors, tandem graders, rollers, scrapers, backhoes, track and wheel loaders, hydro and rigid boom cranes, grinders, trommel screens, compost turners, profilers, pavers, and other construction and maintenance equipment. This equipment is used in weed abatement programs, compost and mulch facilities, construction, repair and maintenance of sidewalks, access ramps, streetscape installations, streets, roads, sewers, storm drains, canals, and water and power infrastructures; compacts soil and debris at refuse disposal sites; makes running repairs and adjustments to equipment; and may lubricate equipment and assist crew members on job site.",yes required,"['Test', 'Test', 'Test']","$97,551","90,201",Two,,,full_time
209,EQUIPMENT REPAIR SUPERVISOR 3746 012717.txt,equipment repair supervisor,3746,,"('94,523', None)",,"['experience as a heavy duty equipment mechanic en', 'experience as an Auto Electrician must submit wi']",[],[],[],2017-01-27,Four years of full-time paid journey-level experience as a heavy duty equipment mechanic engaged in the maintenance and repair of gasoline and diesel powered heavy duty equipment or fire fighting apparatus.PROCESS ,"An Equipment Repair Supervisor supervises the work of senior and journey-level workers and helpers engaged in the servicing, maintenance, and repair of street maintenance, construction, fire fighting, marine and marine accessory, transportation and related equipment; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",yes required,"['Test', 'Interview']",,"94,523",Four,,,full_time
210,EQUIPMENT SUPERINTENDENT 3750 121914.txt,equipment superintendent,3750,,"('107,385', ' to $133,423')",,['experience as a Senior Automotive Supervisor or '],[],[],[],2014-12-19,"Two years of full-time paid experience as a Senior Automotive Supervisor or in a class at that level supervising through subordinate supervisors, the repair and maintenance of transportation, construction, or fire apparatus equipment.",An Equipment Superintendent directs the activities of a major transportation and construction equipment maintenance and repair division.,yes required,[],"$133,423","107,385",Two,,,full_time
211,EQUIPMENT SUPERVISOR 3527 041318.txt,equipment supervisor,3527,,"('84,918', ' to $99,931')",,['experience as they have provided the knowledge o'],[],[],[],2018-04-13," Four years of full-time paid experience with the City of Los Angeles as an Equipment Operator, Power Shovel Operator or in a class at that level operating heavy construction equipment.PROCESS NOTES 1. Applicants who lack six months or less of the above required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.2. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects Three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).SELECTIVE CERTIFICATION In accordance with Charter Section 1010 (b) and Civil Service Rule 5.31, selective certification will be used for some positions that require special skills and/or training in One or more of the following areas. Only persons possessing the following at the time of filing may be considered for appointment to fill such positions.A valid state certified Crane Operator Certification.","An Equipment Supervisor assigns, reviews and evaluates the work of employees engaged in the operation of construction equipment when excavating, backfilling, loading, compacting, mixing and moving earth and other materials on construction, maintenance, composting, mulching or landfill monitoring projects; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",yes required,[],"$99,931","84,918",Four,,,full_time
212,EXAMINER OF QUESTIONED DOCUMENTS 3229 120415.txt,examiner of questioned documents,3229,College or University,"('45,956', ' to $67,191')",".NOTES:  1. Experience in questiOned document work is desired but not required.2. A valid California driver's license is required. Applicants will be disqualified and not eligible for hire if their record within the last 36 months reflects Three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).3. Please note that qualifying education must be from a college or university accredited by a City of Los Angeles recognized agency. A list of approved accrediting agencies can be found at http://per.lacity.org/Accredited%20Institutions%2008-21-08.pdf.WHERE TO APPLYApplications will only be accepted on-line. When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon. On-line job bulletins are also available at http://agency.governmentjobs.com/lacity/default.cfm for Open Competitive Examinations. ",[],[],[],[],2015-12-04,"Graduation from an accredited Four-year college or university.NOTES:  1. Experience in questiOned document work is desired but not required.2. A valid California driver's license is required. Applicants will be disqualified and not eligible for hire if their record within the last 36 months reflects Three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).3. Please note that qualifying education must be from a college or university accredited by a City of Los Angeles recognized agency. A list of approved accrediting agencies can be found at http://per.lacity.org/Accredited%20Institutions%2008-21-08.pdf.WHERE TO APPLYApplications will only be accepted on-line. When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon. On-line job bulletins are also available at http://agency.governmentjobs.com/lacity/default.cfm for Open Competitive Examinations. ","An Examiner of QuestiOned Documents determines the authenticity of documents, including any alterations, additions, or deletions; identifies or eliminates persons as the source of handwriting; obtains handwriting exemplars from suspected writers; detects multiple writing instruments; and presents expert testimony in court.NOTES:1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.2. Paygrade I is for trainees.  Trainees will receive intensive on-the-job and formal training as an Examiner of QuestiOned Documents.  An Examiner of QuestiOned Documents appointed to paygrade I must qualify for appointment to paygrade II within Three years of employment by successful completion of the training program.",yes required,"['Test', 'Defense']","$67,191","45,956",Zero,Four,,full_time
213,EXECUTIVE ADMINISTRATIVE ASSISTANT 1117 083118.txt,executive administrative assistant,1117,,"('60,656', ' to $88,698')",,['experience in a class at the level of Secretary '],[],[],[],2018-08-31," Two years of full-time paid experience in a class at the level of Secretary performing all of the following secretarial work: routing calls to the appropriate person or location; maintaining appointment calendars; arranging appointments and meetings; preparing for and setting up meetings; taking minutes of meetings; reviewing and editing documents; reading, routing, and tracking incoming and outgoing correspondence; and composing routine correspondence.PROCESS ","An Executive Administrative Assistant reports directly to an executive position at least at the level of an Assistant General Manager; performs administrative support functions  which allows the manager or executive to focus on executive level responsibilities; performs highly specialized and responsible secretarial and, on occasion, stenographic work in an executive office or bureau; and performs other duties as assigned.",yes required,"['Test', 'Interview']","$88,698","60,656",Two,,,full_time
214,EXECUTIVE ASSISTANT AIRPORTS 9186 060917 (1).txt,executive assistant airports,9186,,"('129,873', ' to $184,788')",,['experience as they provide the knowledge of: pri'],[],[],[],2017-06-09,"Two years of full-time paid experience with the Los Angeles World Airports in a position at the level of Senior Management Analyst II, supervising administrative support functions, public and/or community relations programs, human resource functions, or acting as a direct staff assistant to a Deputy General Manager, Airports or General Manager, Airports.PROCESS ","Under the general direction of the General Manager Airports or Deputy General Manager Airports, an Executive Assistant Airports acts as a project manager for special projects or programs; assists in executive and administrative matters; represents the Department before City officials, and other agencies; may act as the executive liaison between the Board of Airport CommissiOners and executive management; and does related work.",yes required,['Questionnaire'],"$184,788","129,873",Two,,,full_time
215,EXHIBIT PREPARATOR 2444 062416.txt,exhibit preparator,2444,,"('42,595', ' to $62,285')",,['experience in work involving the preparation and'],[],[],[],2016-06-24,"Two years of full-time paid or volunteer experience in work involving the preparation and installation of display units in an art gallery or museum, including the care, handling, and display of valuable art objects or museum pieces.","Under general supervision, an Exhibit Preparator assigns, reviews and evaluates the work of employees engaged in the construction and installation of exhibits at a gallery or exhibit facility and personally performs the more complicated design, production and installation work; applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities; and does related work.",yes required,[],"$62,285","42,595",Two,,,full_time
